DATE;OPEN;HIGH;LOW;CLOSE;VOLUME
2014.12.30;1,21557;1,21875;1,21242;1,21559;-1,00000
2014.12.31;1,21564;1,21701;1,20968;1,21009;-1,00000
2015.01.02;1,20879;1,20892;1,20008;1,20021;-1,00000
2015.01.05;1,19371;1,19764;1,18874;1,19330;-1,00000
2015.01.06;1,19325;1,19689;1,18844;1,18896;-1,00000
2015.01.07;1,18680;1,18968;1,18022;1,18397;-1,00000
2015.01.08;1,18378;1,18474;1,17543;1,17925;-1,00000
2015.01.09;1,17936;1,18464;1,17627;1,18412;-1,00000
2015.01.12;1,18503;1,18711;1,17863;1,18339;-1,00000
2015.01.13;1,18330;1,18597;1,17531;1,17730;-1,00000
2015.01.14;1,17749;1,18466;1,17275;1,17893;-1,00000
2015.01.15;1,17875;1,17931;1,15678;1,16315;-1,00000
2015.01.16;1,16253;1,16489;1,14602;1,15683;-1,00000
2015.01.19;1,15560;1,16391;1,15517;1,16071;-1,00000
2015.01.20;1,16090;1,16153;1,15406;1,15499;-1,00000
2015.01.21;1,15538;1,16802;1,15416;1,16104;-1,00000
2015.01.22;1,16102;1,16517;1,13164;1,13654;-1,00000
2015.01.23;1,13613;1,13740;1,11145;1,12032;-1,00000
2015.01.26;1,11383;1,12956;1,10978;1,12399;-1,00000
2015.01.27;1,12438;1,14228;1,12238;1,13808;-1,00000
2015.01.28;1,13810;1,13834;1,12761;1,12882;-1,00000
2015.01.29;1,12830;1,13680;1,12622;1,13200;-1,00000
2015.01.30;1,13218;1,13637;1,12787;1,12895;-1,00000
2015.02.02;1,13135;1,13624;1,12926;1,13416;-1,00000
2015.02.03;1,13395;1,15346;1,13127;1,14808;-1,00000
2015.02.04;1,14772;1,14851;1,13157;1,13453;-1,00000
2015.02.05;1,13385;1,14993;1,13039;1,14772;-1,00000
2015.02.06;1,14845;1,14845;1,13119;1,13156;-1,00000
2015.02.09;1,13068;1,13596;1,12704;1,13243;-1,00000
2015.02.10;1,13253;1,13453;1,12730;1,13207;-1,00000
2015.02.11;1,13158;1,13476;1,12798;1,13370;-1,00000
2015.02.12;1,13390;1,14236;1,13023;1,14032;-1,00000
2015.02.13;1,14058;1,14435;1,13798;1,13928;-1,00000
2015.02.16;1,13955;1,14291;1,13197;1,13538;-1,00000
2015.02.17;1,13518;1,14492;1,13219;1,14111;-1,00000
2015.02.18;1,14120;1,14162;1,13339;1,13972;-1,00000
2015.02.19;1,14053;1,14505;1,13553;1,13682;-1,00000
2015.02.20;1,13658;1,14299;1,12791;1,13812;-1,00000
2015.02.23;1,13893;1,13935;1,12952;1,13344;-1,00000
2015.02.24;1,13330;1,13583;1,12883;1,13405;-1,00000
2015.02.25;1,13418;1,13889;1,13357;1,13605;-1,00000
2015.02.26;1,13643;1,13796;1,11837;1,11979;-1,00000
2015.02.27;1,11989;1,12453;1,11759;1,11960;-1,00000
2015.03.02;1,11848;1,12407;1,11602;1,11835;-1,00000
2015.03.03;1,11848;1,12176;1,11547;1,11766;-1,00000
2015.03.04;1,11780;1,11856;1,10617;1,10783;-1,00000
2015.03.05;1,10828;1,11147;1,09875;1,10309;-1,00000
2015.03.06;1,10313;1,10329;1,08396;1,08435;-1,00000
2015.03.09;1,08312;1,09065;1,08228;1,08517;-1,00000
2015.03.10;1,08503;1,08557;1,06929;1,06979;-1,00000
2015.03.11;1,06788;1,07172;1,05113;1,05471;-1,00000
2015.03.12;1,05395;1,06847;1,04943;1,06347;-1,00000
2015.03.13;1,06276;1,06352;1,04625;1,04956;-1,00000
2015.03.16;1,04843;1,06198;1,04797;1,05675;-1,00000
2015.03.17;1,05696;1,06511;1,05516;1,05972;-1,00000
2015.03.18;1,05973;1,10496;1,05800;1,08638;-1,00000
2015.03.19;1,08688;1,09198;1,06131;1,06595;-1,00000
2015.03.20;1,06546;1,08824;1,06498;1,08220;-1,00000
2015.03.23;1,08513;1,09714;1,07675;1,09458;-1,00000
2015.03.24;1,09475;1,10294;1,08904;1,09243;-1,00000
2015.03.25;1,09273;1,10148;1,09009;1,09700;-1,00000
2015.03.26;1,09721;1,10524;1,08565;1,08838;-1,00000
2015.03.27;1,08750;1,09490;1,08013;1,08890;-1,00000
2015.03.30;1,08888;1,08954;1,08097;1,08331;-1,00000
