DATE;OPEN;HIGH;LOW;CLOSE;VOLUME
2010.12.30;1,32265;1,33148;1,32168;1,32898;-1,00000
2010.12.31;1,32885;1,34243;1,32855;1,33833;-1,00000
2011.01.03;1,33553;1,33950;1,32508;1,33608;-1,00000
2011.01.04;1,33595;1,34333;1,32925;1,33070;-1,00000
2011.01.05;1,33070;1,33255;1,31258;1,31500;-1,00000
2011.01.06;1,31545;1,31705;1,29975;1,30030;-1,00000
2011.01.07;1,29993;1,30215;1,29048;1,29070;-1,00000
2011.01.10;1,28773;1,29645;1,28743;1,29510;-1,00000
2011.01.11;1,29530;1,29925;1,29048;1,29743;-1,00000
2011.01.12;1,29683;1,31445;1,29623;1,31313;-1,00000
2011.01.13;1,31345;1,33835;1,30895;1,33645;-1,00000
2011.01.14;1,33638;1,34573;1,33153;1,33885;-1,00000
2011.01.17;1,33723;1,33823;1,32445;1,32935;-1,00000
2011.01.18;1,32888;1,34658;1,32535;1,33870;-1,00000
2011.01.19;1,33823;1,35385;1,33690;1,34735;-1,00000
2011.01.20;1,34695;1,35235;1,33963;1,34725;-1,00000
2011.01.21;1,34720;1,36255;1,34490;1,36205;-1,00000
2011.01.24;1,36300;1,36855;1,35405;1,36378;-1,00000
2011.01.25;1,36430;1,37038;1,35733;1,36818;-1,00000
2011.01.26;1,36863;1,37215;1,36410;1,37128;-1,00000
2011.01.27;1,37025;1,37583;1,36373;1,37340;-1,00000
2011.01.28;1,37345;1,37463;1,35840;1,36113;-1,00000
2011.01.31;1,36008;1,37395;1,35708;1,36935;-1,00000
2011.02.01;1,36943;1,38430;1,36905;1,38290;-1,00000
2011.02.02;1,38260;1,38615;1,37678;1,38108;-1,00000
2011.02.03;1,38083;1,38255;1,36095;1,36335;-1,00000
2011.02.04;1,36288;1,36783;1,35438;1,35828;-1,00000
2011.02.07;1,35713;1,36265;1,35090;1,35820;-1,00000
2011.02.08;1,35828;1,36885;1,35725;1,36255;-1,00000
2011.02.09;1,36293;1,37445;1,36113;1,37325;-1,00000
2011.02.10;1,37310;1,37323;1,35775;1,36020;-1,00000
2011.02.11;1,36030;1,36213;1,34975;1,35555;-1,00000
2011.02.14;1,35225;1,35583;1,34285;1,34885;-1,00000
2011.02.15;1,34843;1,35505;1,34615;1,34868;-1,00000
2011.02.16;1,34848;1,35885;1,34628;1,35685;-1,00000
2011.02.17;1,35653;1,36190;1,35368;1,36093;-1,00000
2011.02.18;1,36070;1,37153;1,35455;1,36945;-1,00000
2011.02.21;1,36925;1,37155;1,36473;1,36783;-1,00000
2011.02.22;1,36780;1,37035;1,35258;1,36500;-1,00000
2011.02.23;1,36555;1,37865;1,36540;1,37485;-1,00000
2011.02.24;1,37470;1,38205;1,37045;1,37995;-1,00000
2011.02.25;1,38025;1,38385;1,37245;1,37533;-1,00000
2011.02.28;1,37598;1,38555;1,37115;1,38065;-1,00000
2011.03.01;1,38038;1,38538;1,37635;1,37768;-1,00000
2011.03.02;1,37750;1,38903;1,37435;1,38655;-1,00000
2011.03.03;1,38625;1,39753;1,38330;1,39695;-1,00000
2011.03.04;1,39650;1,40073;1,39405;1,39865;-1,00000
2011.03.07;1,39968;1,40360;1,39558;1,39690;-1,00000
2011.03.08;1,39715;1,39885;1,38628;1,39045;-1,00000
2011.03.09;1,39023;1,39415;1,38565;1,39085;-1,00000
2011.03.10;1,39070;1,39245;1,37755;1,37978;-1,00000
2011.03.11;1,37975;1,39153;1,37525;1,39033;-1,00000
2011.03.14;1,39565;1,40033;1,39050;1,39925;-1,00000
2011.03.15;1,39915;1,40133;1,38558;1,39978;-1,00000
2011.03.16;1,39958;1,40025;1,38670;1,39003;-1,00000
2011.03.17;1,39165;1,40523;1,38690;1,40213;-1,00000
2011.03.18;1,40200;1,41845;1,39808;1,41825;-1,00000
2011.03.21;1,41918;1,42400;1,41395;1,42263;-1,00000
2011.03.22;1,42265;1,42485;1,41798;1,41963;-1,00000
2011.03.23;1,42015;1,42145;1,40853;1,40875;-1,00000
2011.03.24;1,40845;1,42203;1,40538;1,41773;-1,00000
2011.03.25;1,41763;1,41935;1,40555;1,40883;-1,00000
2011.03.28;1,40373;1,41158;1,40213;1,40870;-1,00000
2011.03.29;1,40850;1,41488;1,40473;1,41135;-1,00000
2011.03.30;1,41125;1,41473;1,40523;1,41280;-1,00000
2011.03.31;1,41275;1,42333;1,41165;1,41575;-1,00000
2011.04.01;1,41655;1,42453;1,40620;1,42368;-1,00000
2011.04.04;1,42325;1,42690;1,41928;1,42205;-1,00000
2011.04.05;1,42213;1,42455;1,41518;1,42228;-1,00000
2011.04.06;1,42230;1,43493;1,42090;1,43318;-1,00000
2011.04.07;1,43340;1,43368;1,42433;1,43080;-1,00000
2011.04.08;1,43058;1,44880;1,42915;1,44833;-1,00000
2011.04.11;1,44638;1,44833;1,44213;1,44355;-1,00000
2011.04.12;1,44340;1,45193;1,43778;1,44770;-1,00000
2011.04.13;1,44730;1,45203;1,44138;1,44428;-1,00000
2011.04.14;1,44410;1,45148;1,43655;1,44878;-1,00000
2011.04.15;1,44885;1,45038;1,43908;1,44303;-1,00000
2011.04.18;1,44168;1,44208;1,41580;1,42338;-1,00000
2011.04.19;1,42325;1,43525;1,42055;1,43345;-1,00000
2011.04.20;1,43380;1,45475;1,43285;1,45225;-1,00000
2011.04.21;1,45198;1,46485;1,45055;1,45525;-1,00000
2011.04.22;1,45528;1,45885;1,45345;1,45618;-1,00000
2011.04.25;1,45600;1,46275;1,45255;1,45805;-1,00000
2011.04.26;1,45820;1,46575;1,44938;1,46440;-1,00000
2011.04.27;1,46443;1,47953;1,46330;1,47878;-1,00000
2011.04.28;1,47788;1,48823;1,47690;1,48225;-1,00000
2011.04.29;1,48233;1,48778;1,48043;1,48078;-1,00000
2011.05.02;1,48280;1,49020;1,47635;1,48303;-1,00000
2011.05.03;1,48270;1,48898;1,47550;1,48258;-1,00000
2011.05.04;1,48285;1,49400;1,47755;1,48275;-1,00000
2011.05.05;1,48245;1,48993;1,45105;1,45388;-1,00000
2011.05.06;1,45415;1,45878;1,43113;1,43158;-1,00000
2011.05.09;1,43688;1,44415;1,42548;1,43655;-1,00000
2011.05.10;1,43655;1,44130;1,42710;1,44095;-1,00000
2011.05.11;1,44078;1,44233;1,41725;1,41923;-1,00000
2011.05.12;1,41973;1,42768;1,41238;1,42463;-1,00000
2011.05.13;1,42453;1,43393;1,40670;1,41185;-1,00000
2011.05.16;1,40905;1,42448;1,40485;1,41560;-1,00000
2011.05.17;1,41538;1,42385;1,41210;1,42373;-1,00000
2011.05.18;1,42360;1,42870;1,41953;1,42493;-1,00000
2011.05.19;1,42445;1,43250;1,42065;1,43103;-1,00000
2011.05.20;1,43143;1,43458;1,41338;1,41613;-1,00000
2011.05.23;1,41443;1,41443;1,39698;1,40475;-1,00000
2011.05.24;1,40498;1,41333;1,40028;1,41000;-1,00000
2011.05.25;1,41020;1,41185;1,40135;1,40878;-1,00000
2011.05.26;1,40870;1,42065;1,40685;1,41445;-1,00000
2011.05.27;1,41400;1,43238;1,41263;1,43190;-1,00000
2011.05.30;1,43098;1,43208;1,42573;1,42815;-1,00000
2011.05.31;1,42833;1,44240;1,42798;1,43960;-1,00000
2011.06.01;1,43958;1,44588;1,43213;1,43283;-1,00000
2011.06.02;1,43140;1,45138;1,43108;1,44913;-1,00000
2011.06.03;1,44918;1,46428;1,44508;1,46348;-1,00000
2011.06.06;1,46215;1,46583;1,45575;1,45758;-1,00000
2011.06.07;1,45743;1,46958;1,45640;1,46913;-1,00000
2011.06.08;1,46898;1,46938;1,45645;1,45833;-1,00000
2011.06.09;1,45788;1,46533;1,44780;1,45108;-1,00000
2011.06.10;1,45068;1,45510;1,43225;1,43468;-1,00000
2011.06.13;1,43283;1,44305;1,43215;1,44133;-1,00000
2011.06.14;1,44158;1,44975;1,43785;1,44400;-1,00000
2011.06.15;1,44405;1,44515;1,41565;1,41793;-1,00000
2011.06.16;1,41703;1,42195;1,40738;1,42053;-1,00000
