DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOLUME,,,,,
2009.12.07,00:00:00,1,48583,1,49050,1,47565,1,48263,-1,0
2009.12.08,00:00:00,1,48263,1,48670,1,46813,1,47035,-1,0
2009.12.09,00:00:00,1,47063,1,47823,1,46688,1,47248,-1,0
2009.12.10,00:00:00,1,47340,1,47603,1,46845,1,47308,-1,0
2009.12.11,00:00:00,1,47330,1,47763,1,45865,1,46150,-1,0
2009.12.14,00:00:00,1,46190,1,46855,1,45988,1,46568,-1,0
2009.12.15,00:00:00,1,46553,1,46593,1,45038,1,45380,-1,0
2009.12.16,00:00:00,1,45348,1,45905,1,45055,1,45310,-1,0
2009.12.17,00:00:00,1,45265,1,45335,1,43045,1,43383,-1,0
2009.12.18,00:00:00,1,43410,1,44118,1,42615,1,43438,-1,0
2009.12.21,00:00:00,1,43238,1,43735,1,42675,1,42773,-1,0
2009.12.22,00:00:00,1,42730,1,43323,1,42178,1,42495,-1,0
2009.12.23,00:00:00,1,42440,1,43665,1,42345,1,43368,-1,0
2009.12.24,00:00:00,1,43280,1,44183,1,43243,1,43795,-1,0
2009.12.28,00:00:00,1,43858,1,44138,1,43543,1,43790,-1,0
2009.12.29,00:00:00,1,43788,1,44585,1,43318,1,43533,-1,0
2009.12.30,00:00:00,1,43530,1,43608,1,42735,1,43393,-1,0
2009.12.31,00:00:00,1,43335,1,44405,1,43068,1,43263,-1,0
2010.01.04,00:00:00,1,43085,1,44558,1,42575,1,44128,-1,0
2010.01.05,00:00:00,1,44153,1,44843,1,43465,1,43655,-1,0
2010.01.06,00:00:00,1,43615,1,44353,1,42840,1,44075,-1,0
2010.01.07,00:00:00,1,44123,1,44473,1,42995,1,43078,-1,0
2010.01.08,00:00:00,1,43105,1,44388,1,42638,1,44105,-1,0
2010.01.11,00:00:00,1,44270,1,45573,1,44085,1,45130,-1,0
2010.01.12,00:00:00,1,45133,1,45458,1,44540,1,44855,-1,0
2010.01.13,00:00:00,1,44853,1,45795,1,44570,1,45105,-1,0
2010.01.14,00:00:00,1,45093,1,45558,1,44468,1,44998,-1,0
2010.01.15,00:00:00,1,44978,1,45123,1,43373,1,43858,-1,0
2010.01.18,00:00:00,1,43625,1,44005,1,43355,1,43833,-1,0
2010.01.19,00:00:00,1,43865,1,44143,1,42528,1,42880,-1,0
2010.01.20,00:00:00,1,42880,1,42953,1,40805,1,41058,-1,0
2010.01.21,00:00:00,1,41008,1,41433,1,40293,1,40840,-1,0
2010.01.22,00:00:00,1,40885,1,41815,1,40665,1,41383,-1,0
2010.01.25,00:00:00,1,41450,1,41943,1,41285,1,41505,-1,0
2010.01.26,00:00:00,1,41495,1,41795,1,40428,1,40718,-1,0
2010.01.27,00:00:00,1,40768,1,40970,1,39935,1,40233,-1,0
2010.01.28,00:00:00,1,40260,1,40525,1,39375,1,39708,-1,0
2010.01.29,00:00:00,1,39695,1,39875,1,38625,1,38633,-1,0
2010.02.01,00:00:00,1,38585,1,39385,1,38530,1,39305,-1,0
2010.02.02,00:00:00,1,39318,1,39748,1,38865,1,39645,-1,0
2010.02.03,00:00:00,1,39640,1,40263,1,38858,1,38933,-1,0
2010.02.04,00:00:00,1,38915,1,39028,1,37228,1,37228,-1,0
2010.02.05,00:00:00,1,37188,1,37460,1,35855,1,36785,-1,0
2010.02.08,00:00:00,1,36583,1,37138,1,36218,1,36480,-1,0
