DATE;OPEN;HIGH;LOW;CLOSE;VOLUME
2015.12.31;1,0931;1,09374;1,08531;1,0866;-1
2016.01.04;1,08518;1,09465;1,07812;1,08315;-1
2016.01.05;1,08333;1,08391;1,07108;1,07478;-1
2016.01.06;1,07477;1,07994;1,07141;1,07802;-1
2016.01.07;1,07798;1,09403;1,07712;1,09321;-1
2016.01.08;1,0933;1,0933;1,08033;1,0926;-1
2016.01.11;1,09275;1,09699;1,08479;1,08593;-1
2016.01.12;1,08575;1,09003;1,08198;1,08577;-1
2016.01.13;1,0859;1,08878;1,08051;1,08773;-1
2016.01.14;1,08795;1,09433;1,08348;1,0865;-1
2016.01.15;1,0867;1,09848;1,08546;1,09168;-1
2016.01.18;1,09168;1,09277;1,08691;1,08925;-1
2016.01.19;1,0891;1,09391;1,08595;1,09079;-1
2016.01.20;1,09065;1,09761;1,08774;1,08903;-1
2016.01.21;1,08888;1,09217;1,07777;1,0874;-1
2016.01.22;1,08745;1,08767;1,07893;1,07968;-1
2016.01.25;1,0793;1,0857;1,07896;1,08489;-1
2016.01.26;1,08495;1,08745;1,08188;1,08707;-1
2016.01.27;1,0865;1,0917;1,08507;1,08934;-1
2016.01.28;1,08933;1,09678;1,08698;1,09405;-1
2016.01.29;1,09393;1,09489;1,08101;1,08299;-1
2016.02.01;1,08333;1,09129;1,08148;1,08883;-1
2016.02.02;1,08862;1,09401;1,08862;1,09194;-1
2016.02.03;1,09167;1,11457;1,0904;1,11051;-1
2016.02.04;1,10928;1,12391;1,10697;1,12079;-1
2016.02.05;1,12038;1,12553;1,11091;1,11555;-1
2016.02.08;1,11455;1,12161;1,10867;1,11932;-1
2016.02.09;1,11934;1,13383;1,11623;1,12932;-1
2016.02.10;1,129;1,13117;1,11607;1,1292;-1
2016.02.11;1,1288;1,13768;1,12741;1,13233;-1
2016.02.12;1,13228;1,1334;1,12141;1,12543;-1
2016.02.15;1,12433;1,12515;1,11281;1,11555;-1
2016.02.16;1,11578;1,11933;1,11243;1,1144;-1
2016.02.17;1,11433;1,11793;1,11062;1,1128;-1
2016.02.18;1,11249;1,11497;1,1071;1,11065;-1
2016.02.19;1,11058;1,11394;1,10667;1,11338;-1
2016.02.22;1,112;1,11248;1,10032;1,10295;-1
2016.02.23;1,10298;1,1053;1,09901;1,10192;-1
2016.02.24;1,10183;1,10466;1,09573;1,10132;-1
2016.02.25;1,10155;1,105;1,09869;1,10181;-1
2016.02.26;1,10262;1,10684;1,09118;1,09346;-1
2016.02.29;1,09193;1,09628;1,08593;1,0873;-1
2016.03.01;1,08763;1,08936;1,08342;1,08681;-1
2016.03.02;1,08648;1,08812;1,08256;1,08684;-1
2016.03.03;1,08702;1,0973;1,08537;1,09573;-1
2016.03.04;1,09558;1,10435;1,09033;1,10075;-1
2016.03.07;1,0993;1,10259;1,09402;1,10142;-1
2016.03.08;1,10135;1,1058;1,09937;1,10108;-1
2016.03.09;1,10105;1,1035;1,09461;1,09997;-1
2016.03.10;1,10005;1,12184;1,08221;1,11772;-1
2016.03.11;1,118;1,12099;1,10804;1,11495;-1
2016.03.14;1,11388;1,11767;1,10774;1,1103;-1
2016.03.15;1,11023;1,11253;1,10719;1,1109;-1
2016.03.16;1,11072;1,12427;1,10579;1,12245;-1
2016.03.17;1,122;1,13426;1,12052;1,13182;-1
2016.03.18;1,13158;1,13371;1,12562;1,12702;-1
2016.03.21;1,1268;1,12849;1,12345;1,12414;-1
2016.03.22;1,124;1,126;1,11887;1,1217;-1
2016.03.23;1,12165;1,12236;1,11596;1,1181;-1
2016.03.24;1,11785;1,11882;1,11439;1,11752;-1
2016.03.25;1,11767;1,11817;1,11543;1,11645;-1
2016.03.28;1,11601;1,12199;1,11531;1,11959;-1
2016.03.29;1,11941;1,13036;1,11692;1,12909;-1
2016.03.30;1,1292;1,13657;1,12837;1,13378;-1
2016.03.31;1,13358;1,14122;1,13102;1,13801;-1
2016.04.01;1,13818;1,14381;1,13348;1,13963;-1
2016.04.04;1,13968;1,14128;1,13575;1,13913;-1
2016.04.05;1,13905;1,14053;1,13361;1,13845;-1
2016.04.06;1,1384;1,14319;1,13267;1,13994;-1
2016.04.07;1,13963;1,14541;1,13377;1,13775;-1
2016.04.08;1,13755;1,14196;1,13492;1,13989;-1
2016.04.11;1,141;1,14476;1,13724;1,14081;-1
2016.04.12;1,14085;1,14649;1,13456;1,13858;-1
2016.04.13;1,13878;1,13914;1,12686;1,12742;-1
2016.04.14;1,12783;1,12949;1,1234;1,12678;-1
2016.04.15;1,1267;1,13172;1,12458;1,12828;-1
2016.04.18;1,13005;1,13321;1,12738;1,13137;-1
2016.04.19;1,1314;1,13848;1,13035;1,13575;-1
2016.04.20;1,13605;1,13883;1,12907;1,12966;-1
2016.04.21;1,1299;1,13988;1,12693;1,12877;-1
2016.04.22;1,12858;1,13087;1,12183;1,12263;-1
2016.04.25;1,12225;1,12783;1,12207;1,12683;-1
2016.04.26;1,12685;1,13398;1,12565;1,1297;-1
2016.04.27;1,1298;1,13617;1,1272;1,13215;-1
2016.04.28;1,1325;1,13681;1,12961;1,1353;-1
2016.04.29;1,13553;1,14593;1,13492;1,1452;-1
2016.05.02;1,14613;1,15364;1,14484;1,15322;-1
2016.05.03;1,1532;1,16165;1,14954;1,14964;-1
2016.05.04;1,14995;1,15297;1,14664;1,14875;-1
2016.05.05;1,14898;1,14939;1,1386;1,14051;-1
2016.05.06;1,14047;1,1482;1,13868;1,14063;-1
2016.05.09;1,13976;1,14199;1,13753;1,13827;-1
2016.05.10;1,13813;1,14101;1,13587;1,13725;-1
2016.05.11;1,13751;1,14467;1,13696;1,14262;-1
2016.05.12;1,14278;1,14294;1,13706;1,13767;-1
2016.05.13;1,13758;1,138;1,12826;1,13078;-1
