<DATE>,<HIGH>,<LOW>,<CLOSE>,<TICKVOL>,<VOL>,<SPREAD>
2012.07.12,1.22380,1.22475,1.21670,1.22027,79303,
2012.07.13,1.22029,1.22554,1.21622,1.22485,74574,
2012.07.16,1.22673,1.22889,1.21753,1.22714,66888,
2012.07.17,1.22711,1.23156,1.21890,1.22939,77750,
2012.07.18,1.22936,1.23052,1.22166,1.22831,77270,
2012.07.19,1.22830,1.23214,1.22290,1.22800,81697,
2012.07.20,1.22800,1.22823,1.21440,1.21551,78036,
2012.07.23,1.21202,1.21438,1.20669,1.21159,85824,
2012.07.24,1.21159,1.21368,1.20418,1.20583,86005,
2012.07.25,1.20582,1.21681,1.20529,1.21574,87484,
2012.07.26,1.21573,1.23276,1.21172,1.22817,86522,
2012.07.27,1.22820,1.23889,1.22417,1.23211,89710,
2012.07.30,1.22972,1.23099,1.22251,1.22597,71744,
2012.07.31,1.22598,1.23289,1.22487,1.23028,79426,
2012.08.01,1.23030,1.23357,1.22175,1.22245,75736,
2012.08.02,1.22244,1.24011,1.21337,1.21794,88931,
2012.08.03,1.21795,1.23918,1.21662,1.23848,82753,
2012.08.06,1.23972,1.24422,1.23413,1.23999,76977,
2012.08.07,1.23997,1.24414,1.23756,1.23980,74958,
2012.08.08,1.23978,1.24016,1.23264,1.23643,75116,
2012.08.09,1.23642,1.23860,1.22667,1.23050,76553,
2012.08.10,1.23051,1.23156,1.22409,1.22884,72509,
2012.08.13,1.22895,1.23729,1.22604,1.23316,69007,
2012.08.14,1.23317,1.23849,1.23166,1.23213,70327,
2012.08.15,1.23211,1.23429,1.22636,1.22893,62455,
2012.08.16,1.22892,1.23718,1.22561,1.23553,68365,
2012.08.17,1.23554,1.23814,1.22886,1.23327,67030,
2012.08.20,1.23518,1.23683,1.22948,1.23446,64289,
2012.08.21,1.23449,1.24868,1.23418,1.24721,70312,
2012.08.22,1.24720,1.25367,1.24310,1.25279,74298,
2012.08.23,1.25280,1.25885,1.25230,1.25631,74767,
2012.08.24,1.25632,1.25675,1.24822,1.25109,63285,
2012.08.27,1.25122,1.25349,1.24894,1.24981,43863,
2012.08.28,1.24981,1.25753,1.24647,1.25641,55753,
2012.08.29,1.25641,1.25723,1.25184,1.25289,51735,
2012.08.30,1.25290,1.25632,1.24875,1.25055,52941,
2012.08.31,1.25054,1.26360,1.24929,1.25734,67637,
2012.09.03,1.25704,1.26098,1.25598,1.25920,48826,
2012.09.04,1.25919,1.26267,1.25550,1.25653,61467,
2012.09.05,1.25652,1.26234,1.25012,1.26002,69676,
2012.09.06,1.26002,1.26501,1.25619,1.26301,69668,
2012.09.07,1.26302,1.28165,1.26262,1.28154,69435,
2012.09.10,1.28090,1.28107,1.27553,1.27577,58283,
2012.09.11,1.27576,1.28705,1.27543,1.28542,66799,
2012.09.12,1.28543,1.29358,1.28148,1.28986,73109,
2012.09.13,1.28990,1.30008,1.28564,1.29888,73113,
2012.09.14,1.29888,1.31676,1.29795,1.31286,79946,
2012.09.17,1.31202,1.31706,1.30831,1.31163,68425,
2012.09.18,1.31160,1.31196,1.30288,1.30469,71512,
2012.09.19,1.30466,1.30844,1.29929,1.30478,72249,
2012.09.20,1.30477,1.30584,1.29201,1.29678,77350,
2012.09.21,1.29679,1.30471,1.29553,1.29788,73847,
2012.09.24,1.29756,1.29897,1.28905,1.29299,62606,
2012.09.25,1.29300,1.29700,1.28863,1.28982,68943,
2012.09.26,1.28984,1.29122,1.28349,1.28717,67363,
2012.09.27,1.28718,1.29272,1.28293,1.29119,69527,
2012.09.28,1.29120,1.29591,1.28382,1.28595,70800,
2012.10.01,1.28476,1.29382,1.28031,1.28875,64472,
2012.10.02,1.28877,1.29669,1.28797,1.29186,58818,
2012.10.03,1.29187,1.29362,1.28769,1.29049,60463,
2012.10.04,1.29049,1.30310,1.29011,1.30172,65491,
2012.10.05,1.30171,1.30708,1.29934,1.30391,59709,
2012.10.08,1.30250,1.30260,1.29373,1.29670,54236,
2012.10.09,1.29672,1.29902,1.28585,1.28841,60191,
2012.10.10,1.28841,1.29124,1.28352,1.28746,58404,
2012.10.11,1.28739,1.29504,1.28253,1.29264,58298,
2012.10.12,1.29267,1.29910,1.29219,1.29503,55029,
2012.10.15,1.29532,1.29784,1.28908,1.29482,54490,
2012.10.16,1.29481,1.30602,1.29424,1.30531,56757,
2012.10.17,1.30533,1.31384,1.30526,1.31182,61851,
2012.10.18,1.31181,1.31280,1.30553,1.30662,60822,
2012.10.19,1.30660,1.30764,1.30128,1.30230,56723,
2012.10.22,1.30205,1.30824,1.30154,1.30590,54608,
2012.10.23,1.30590,1.30748,1.29515,1.29859,57589,
2012.10.24,1.29858,1.29962,1.29201,1.29727,57564,
2012.10.25,1.29728,1.30224,1.29265,1.29333,55738,
2012.10.26,1.29333,1.29556,1.28830,1.29353,56764,
2012.10.29,1.29421,1.29431,1.28848,1.29024,41435,
2012.10.30,1.29024,1.29829,1.28857,1.29621,42788,
2012.10.31,1.29622,1.30199,1.29459,1.29561,54278,
2012.11.01,1.29561,1.29820,1.29243,1.29428,50885,
2012.11.02,1.29423,1.29502,1.28207,1.28333,56182,
2012.11.05,1.28161,1.28418,1.27669,1.27952,54832,
2012.11.06,1.27955,1.28260,1.27632,1.28138,59586,
2012.11.07,1.28137,1.28757,1.27358,1.27702,74456,
2012.11.08,1.27702,1.27801,1.27171,1.27464,64202,
2012.11.09,1.27463,1.27895,1.26895,1.27106,64523,
2012.11.12,1.27117,1.27385,1.26970,1.27087,48432,
2012.11.13,1.27088,1.27261,1.26612,1.27036,62760,
2012.11.14,1.27033,1.27758,1.26998,1.27347,63961,
2012.11.15,1.27348,1.28010,1.27169,1.27803,60158,
2012.11.16,1.27802,1.27837,1.26905,1.27418,59103,
2012.11.19,1.27485,1.28188,1.27396,1.28128,54397,
2012.11.20,1.28127,1.28276,1.27646,1.28163,60799,
2012.11.21,1.28162,1.28324,1.27359,1.28283,61151,
2012.11.22,1.28284,1.28983,1.28255,1.28822,52525,
2012.11.23,1.28822,1.29896,1.28677,1.29729,52394,
2012.11.26,1.29667,1.29836,1.29435,1.29708,52110,
2012.11.27,1.29713,1.30077,1.29150,1.29419,62806,
2012.11.28,1.29419,1.29537,1.28796,1.29517,58943,
2012.11.29,1.29518,1.30125,1.29385,1.29782,54491,
2012.11.30,1.29778,1.30267,1.29679,1.29848,58993,
2012.12.03,1.29824,1.30751,1.29824,1.30520,53796,
2012.12.04,1.30524,1.31073,1.30453,1.30935,56103,
2012.12.05,1.30936,1.31253,1.30596,1.30665,53414,
2012.12.06,1.30667,1.30857,1.29500,1.29672,58005,
2012.12.07,1.29673,1.29718,1.28769,1.29261,54431,
2012.12.10,1.28889,1.29458,1.28855,1.29399,49855,
2012.12.11,1.29401,1.30140,1.29283,1.30046,51452,
2012.12.12,1.30046,1.30960,1.29951,1.30730,52692,
2012.12.13,1.30730,1.30998,1.30405,1.30763,51902,
2012.12.14,1.30765,1.31727,1.30657,1.31622,53435,
2012.12.17,1.31680,1.31871,1.31437,1.31631,49048,
2012.12.18,1.31632,1.32376,1.31554,1.32281,46030,
2012.12.19,1.32280,1.33076,1.32227,1.32261,54957,
2012.12.20,1.32260,1.32942,1.31889,1.32432,55606,
2012.12.21,1.32431,1.32517,1.31570,1.31867,62476,
2012.12.24,1.31744,1.32326,1.31706,1.31768,30410,
2012.12.26,1.31866,1.32534,1.31826,1.32233,26673,
