timestamp,close,typical,variation,sma8,sma20,ema8,ema20,ppo,roc,rsi,williamsr,atr,sd
2013-11-24T21:05-03:00[America/Santiago],806.5,804.66,1,806.5,806.5,806.5,806.5,0,0,0,-13.002680965147453083109919571046,7.46,0.0
2013-11-24T21:10-03:00[America/Santiago],806.78,804.91,1.0003471791692498450092994420335,806.64,806.64,806.56222222222222222222222222222,806.52666666666666666666666666667,0.0027694492166026502357317022600966,0.034717916924984500929944203347799,100,-9.2493297587131367292225201072386,7.3845,0.13999999999999999
2013-11-24T21:15-03:00[America/Santiago],800.81,802.42,0.99260021319318773395473363246486,804.69666666666666666666666666667,804.69666666666666666666666666667,805.28395061728395061728395061728,805.98222222222222222222222222223,-0.054169340382278598592184712219475,-0.70551766893986360818350898946063,4.173354735152487961476725521669,-86.269430051813471502590673575130,7.366775,2.750664566164976
2013-11-24T21:20-03:00[America/Santiago],805.86,804.21,1.0063061150585032654437382150573,804.9875,804.9875,805.41196159122085048010973936900,805.97058201058201058201058201059,-0.048189173435784274639899565569316,-0.079355238685678859268443893366398,48.836442745072186696552178785682,-20.854922279792746113989637305699,7.25143625,2.4348241722966364
2013-11-24T21:25-03:00[America/Santiago],805.84,804.16666666666666666666666666667,0.99997518179336361154542972724791,805.158,805.158,805.50708123761621704008535284256,805.95814562862181909800957420006,-0.043152644057598204679280672580324,-0.081835089894606323620582765034098,48.739555339619108351173395280102,-21.113989637305699481865284974093,7.1413644375,2.2043085083535834
2013-11-24T21:30-03:00[America/Santiago],800.0,801.94333333333333333333333333333,0.99275290380224362156259307058473,804.29833333333333333333333333333,804.29833333333333333333333333333,804.28328540703483547562194109977,805.39070318780069346962770999053,-0.096563488187343149774150055162100,-0.80595164290142591444513329200248,30.014530754446072824468438343067,-96.761658031088082901554404145078,7.076296215625,2.782854749273766
2013-11-24T21:35-03:00[America/Santiago],800.46,802.14666666666666666666666666667,1.000575,803.75,803.75,803.43366642769376092548373196649,804.92111240801015123442507094381,-0.13279829609246660976404468206221,-0.74891506509609423434593924364538,32.223302830531972130009353993977,-90.803108808290155440414507772021,7.01348140484375,2.9055070863054917
2013-11-24T21:40-03:00[America/Santiago],805.43,803.90,1.0062089298653274367238837668341,803.96,803.96,803.87729611042848071982068041838,804.96957789296156540257506418726,-0.11039971311082521577167549239664,-0.13267203967761934283942963422195,50.427363740020405806371721374609,-26.424870466321243523316062176166,6.9303073346015625,2.774062904838317
2013-11-24T21:45-03:00[America/Santiago],805.82,803.94,1.0004842134015370671566740747179,803.875,804.16666666666666666666666666667,804.30900808588881833763830699207,805.05057047458427345947267712181,-0.087726566165649079934677580017848,-0.084314941103533787972721636701798,51.527573618288827965660609846762,-21.373056994818652849740932642487,6.865791967871484375,2.6799378102237124
2013-11-24T21:50-03:00[America/Santiago],805.84,804.00,1.0000248194385842992231515723114,803.7575,804.334,804.64922851124685870705201654939,805.12575423890958074904670787211,-0.068765929245107678377909104606447,-0.081835089894606323620582765034098,51.586913457941799047118384688626,-21.113989637305699481865284974093,6.79950236947791015625,2.591498408257277
2013-11-24T21:55-03:00[America/Santiago],805.99,804.09666666666666666666666666667,1.0001861411694629206790429862007,804.405,804.48454545454545454545454545455,804.94717773096977899437379064953,805.20806335901343020151844997953,-0.051641592117367602568432151954696,-0.063236205827650340979541227526348,52.060923150429598604207744988215,-19.170984455958549222797927461140,6.7435272510040146484375,2.51634064624285
2013-11-24T22:00-03:00[America/Santiago],805.99,806.66,1,804.42125,804.61,805.17891601297649477340183717186,805.28253351529786542042145474338,-0.037637736213278805586339741764201,-0.063236205827650340979541227526348,52.060923150429598604207744988215,-24.363636363636363636363636363636,6.506850888453813916015625,2.4448790017776614
2013-11-24T22:05-03:00[America/Santiago],807.99,807.32666666666666666666666666667,1.0024814203650169356939912405861,804.69,804.87,805.80360134342616260153476224478,805.54038746622187823752417333925,-0.0064291703438322293580971158947123,0.18474891506509609423434593924365,58.364617065696052335471478541252,-0.12121212121212121212121212121212,6.28200834403112322021484375,2.5157167505962925
2013-11-24T22:10-03:00[America/Santiago],807.99,807.32666666666666666666666666667,1,805.68875,805.09285714285714285714285714286,806.28946771155368202341592619038,805.77368389801027078633139492599,0.018084343199396195226895216288846,0.18474891506509609423434593924365,58.364617065696052335471478541252,-0.12121212121212121212121212121212,6.0684079268295670592041015625,2.5539029754795433
2013-11-24T22:15-03:00[America/Santiago],809.06,808.32,1.0013242738152699909652347182515,806.76375,805.35733333333333333333333333333,806.90514155343064157376794259252,806.08666638391405452096650017113,0.047661421528194273435427184777448,0.31742095474271543707377557346559,61.505336399857595322398726428665,-8.2758620689655172413793103448276,5.959987530488088706243896484375,2.7334429213140035
2013-11-24T22:20-03:00[America/Santiago],809.06,809.34,1,807.2175,805.58875,807.38399898600161011293062201640,806.36984101401747789992207158340,0.070275898993057491042614882130428,0.31742095474271543707377557346559,61.505336399857595322398726428665,-8.2758620689655172413793103448276,5.7039881539636842709317016601563,2.882094618112858
2013-11-24T22:25-03:00[America/Santiago],801.02,803.98,0.99006254171507675574123056386424,806.6175,805.32,805.96977698911236342116826156831,805.86033234601581333802473143260,0.0076581739752239732620048126998816,-0.67947923124612523248605083694978,37.110259423577418117232813321815,-87.487684729064039408866995073892,5.8627887462655000573851165771485,2.8584151631451227
